"","Country","Continent","pos_at_max_dist","cleantime","speed"
"1","Afghanistan","Asia",74.1867043847242,14.14,7.07213578500707
"2","Albania","Europe",89.5815542271563,11.71,8.5397096498719
"3","Algeria","Africa",90.3531438415159,11.61,8.61326442721792
"5","American Samoa","Oceania",78.3420463032113,13.39,7.46825989544436
"6","Andorra","Europe",86.0541427399508,12.19,8.20344544708778
"7","Angola","Africa",89.7348160821215,11.69,8.55431993156544
"8","Anguilla","North America",87.5626043405676,11.98,8.34724540901503
"9","Antigua and Barbuda","North America",93.6607142857143,11.2,8.92857142857143
"10","Argentina","South America",90.6655142610199,11.57,8.64304235090752
"11","Armenia","Europe",90.9012131715771,11.54,8.66551126516465
"12","Aruba","South America",82.7287066246057,12.68,7.88643533123028
"13","Australia","Oceania",94.4194419441944,11.11,9.000900090009
"14","Austria","Europe",94.0807174887892,11.15,8.96860986547085
"15","Azerbaijan","Europe",88.374052232519,11.87,8.424599831508
"16","Bahamas","North America",96.7712177121771,10.84,9.22509225092251
"17","Bahrain","Asia",94.3345323741007,11.12,8.99280575539568
"18","Bangladesh","Asia",86.266447368421,12.16,8.22368421052632
"19","Barbados","North America",93.1616341030195,11.26,8.8809946714032
"20","Belarus","Europe",96.0622710622711,10.92,9.15750915750916
"21","Belgium","Europe",95.018115942029,11.04,9.05797101449275
"22","Belize","North America",89.3526405451448,11.74,8.51788756388416
"23","Benin","Africa",90.8225108225108,11.55,8.65800865800866
"24","Bermuda","North America",91.5357766143106,11.46,8.7260034904014
"25","Bolivia","South America",86.9817578772803,12.06,8.29187396351576
"26","Bosnia and Herzegovina","Europe",85.702614379085,12.24,8.16993464052288
"27","Botswana","Africa",90.4310344827586,11.6,8.62068965517241
"28","Brazil","South America",95.2770208900999,11.01,9.08265213442325
"29","British Virgin Islands","North America",94.2497753818508,11.13,8.98472596585804
"30","Brunei","Asia",85.5628058727569,12.26,8.15660685154976
"31","Bulgaria","Europe",97.4001857010214,10.77,9.28505106778087
"32","Burkina Faso","Africa",90.7439446366782,11.56,8.65051903114187
"33","Burundi","Africa",82.4037706205813,12.73,7.85545954438335
"34","Cameroon","Africa",95.5373406193078,10.98,9.10746812386157
"35","Canada","North America",95.5373406193078,10.98,9.10746812386157
"36","Cape Verde","Africa",84.3925985518906,12.43,8.0450522928399
"37","Cayman Islands","North America",94.6750902527076,11.08,9.02527075812274
"38","Central African Republic","Africa",87.929589270746,11.93,8.38222967309304
"39","Chad","Africa",89.9656946826758,11.66,8.57632933104631
"40","Chile","South America",92.586054721977,11.33,8.8261253309797
"41","China","Asia",97.2196478220575,10.79,9.2678405931418
"42","Chinese Taipei","Asia",93.49376114082,11.22,8.9126559714795
"43","Colombia","South America",93.8282647584973,11.18,8.94454382826476
"44","Combodia","Asia",82.4685534591195,12.72,7.86163522012579
"45","Commonwealth of Dominica","North America",92.9140832595217,11.29,8.85739592559787
"46","Comoros","Africa",90.5090595340811,11.59,8.6281276962899
"47","Cook Islands","Oceania",85.9836065573771,12.2,8.19672131147541
"48","Croatia","Europe",92.8318584070796,11.3,8.84955752212389
"49","Cyprus","Europe",93.2444444444445,11.25,8.88888888888889
"50","Czech Republic","Europe",94.5897204688909,11.09,9.01713255184851
"51","Denmark","Europe",91.8563922942207,11.42,8.75656742556918
"52","Djibouti","Africa",81.7614964925955,12.83,7.79423226812159
"53","Dominican Republic","North America",93.3274021352313,11.24,8.89679715302491
"54","Ecuador","South America",95.4504094631483,10.99,9.09918107370337
"55","Egypt","Africa",88.8983050847458,11.8,8.47457627118644
"56","El Salvador","North America",86.8377483443709,12.08,8.27814569536424
"57","Equatorial Guinea","Africa",85.0081037277147,12.34,8.10372771474878
"58","Estonia","Europe",92.4229074889868,11.35,8.81057268722467
"59","Ethiopia","Africa",90.8225108225108,11.55,8.65800865800866
"60","Federated States of Micronesia","Oceania",80.1375095492743,13.09,7.63941940412529
"61","Fiji","Oceania",90.8225108225108,11.55,8.65800865800866
"62","Finland","Europe",94.2497753818508,11.13,8.98472596585804
"63","France","Europe",97.7632805219012,10.73,9.31966449207829
"64","French Polynesia","Oceania",87.7824267782427,11.95,8.36820083682008
"65","Gabon","Africa",95.1042611060743,11.03,9.06618313689937
"67","Gambia","Africa",91.7760279965004,11.43,8.74890638670166
"68","Georgia","Europe",94.6750902527076,11.08,9.02527075812274
"69","Germany","Europe",97.0397779833488,10.81,9.25069380203515
"70","Ghana","Africa",94.165170556553,11.14,8.97666068222621
"71","Gibraltar","Europe",86.6942148760331,12.1,8.26446280991736
"72","Greece","Europe",96.8605724838412,10.83,9.23361034164358
"73","Grenada","North America",93.8282647584973,11.18,8.94454382826476
"74","Guam","Oceania",85.5628058727569,12.26,8.15660685154976
"75","Guatemala","North America",88.003355704698,11.92,8.38926174496644
"76","Guinea","Africa",87.2712146422629,12.02,8.31946755407654
"77","Guinea-Bissau","Africa",83.652312599681,12.54,7.97448165869219
"78","Guyana","South America",94.165170556553,11.14,8.97666068222621
"79","Haiti","North America",96.6820276497696,10.85,9.21658986175115
"80","Honduras","North America",86.6942148760331,12.1,8.26446280991736
"81","Hong Kong","Asia",89.4288150042626,11.73,8.52514919011083
"83","Hungary","Europe",91.9368974583699,11.41,8.76424189307625
"84","Iceland","Europe",90.1977644024076,11.63,8.59845227858985
"85","India","Asia",93.3274021352313,11.24,8.89679715302491
"86","Indonesia","Asia",90.7439446366782,11.56,8.65051903114187
"87","Iran","Asia",91.6157205240175,11.45,8.73362445414847
"88","Iraq","Asia",88.2996632996633,11.88,8.41750841750842
"89","Ireland","Europe",92.0175438596491,11.4,8.7719298245614
